Dados gravados: 2025-06-17 15:35:41.121568 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.489668 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.512194 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.521456 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.522595 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.524812 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.533582 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.599857 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.607515 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.621807 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.622348 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.623953 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.626525 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.627544 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.666881 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.678834 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.722733 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.723738 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.725734 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.726745 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.736381 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.740643 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.743589 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.744570 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.747739 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.748153 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.768976 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.768976 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.773314 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.775195 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.775195 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.782370 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.783377 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.815201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.816201 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.823983 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.825008 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.826998 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.828342 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.829870 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.829870 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.831672 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.833665 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.833665 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.883763 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.885787 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.887803 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.888791 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.889789 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.890907 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.890907 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.890907 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.893067 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.894936 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.898249 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.913733 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.914476 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.915822 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.923582 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.923582 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.966764 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.966764 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.966764 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.972994 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.974013 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.975007 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.021940 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.023691 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.024707 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.025712 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.026722 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.027720 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.028706 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.029706 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.030782 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.031266 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.032868 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.033993 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.034999 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.035997 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.036997 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.037842 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.038021 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.040280 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.118701 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.118701 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.118701 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.118701 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.118701 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.225135 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.225135 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.225135 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.229683 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.229683 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.229683 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.241681 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.243777 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.248521 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.248521 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.265157 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.272859 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.276920 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.277808 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.292319 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.317449 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.325685 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.326350 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.326857 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.413414 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.428436 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.517224 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.517224 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.517224 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.612431 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.612431 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.627952 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.690679 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.724887 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.724887 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.744051 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.745072 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.751405 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.752486 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.772748 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.773773 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.781472 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.783144 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.825120 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.825120 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.922902 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.922902 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.922902 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.922902 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.922902 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.962944 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:42.976266 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.025997 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.027269 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.031850 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.113170 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.113170 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.113170 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.113170 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.113170 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.161950 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.199770 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.221494 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.225244 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.225832 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.240894 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.240894 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.249966 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.250976 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.273400 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.274387 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.280539 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.282179 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.325895 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.325895 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.384693 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.416038 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.423315 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.424279 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.425277 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.426341 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.427321 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.489605 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.489605 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.517973 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.522176 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.523197 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.524656 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.524656 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.524656 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.529416 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.530461 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.531480 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.532497 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.551045 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.567980 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.622749 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.622749 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.622749 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.622749 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.622749 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.713043 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.713043 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.713043 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.713043 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.744356 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.746984 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.752210 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.753094 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.774428 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.777066 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.781187 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.783230 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.821900 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.824926 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.825993 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.917790 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.917790 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.917790 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.917790 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.929820 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.929820 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.931833 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.974302 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:43.989393 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.027149 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.027289 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.126658 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.132196 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.199225 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.224334 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.226062 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.244775 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.248270 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.252241 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.254262 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.276082 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.277080 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.282080 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.283414 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.308735 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.323964 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.324868 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.389642 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.427851 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.427973 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.521392 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.521902 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.521902 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.521902 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.521902 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.613921 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.613921 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:44.714476 | Bid: 103988.17000000 | Ask: 103988.18000000
